MlsId,MlsName,DateListed,StreetAddress,Price,Desc,Year,Month,Built-In And Free Standing,Built-In BBQ,Built-In Gas,Built-Ins,Cooktop - Gas,Double Oven,Free Standing Gas,Gas,Microwave,Oven,Oven-Gas,Range Hood,RangeOven,Self Cleaning Oven,RoomCount_0,RoomCount_1,RoomCount_2,HalfBathrooms_1,HalfBathrooms_2,HalfBathrooms_3,HalfBathrooms_99,FullBathrooms_1,FullBathrooms_2,FullBathrooms_3,FullBathrooms_4,FullBathrooms_5,FullBathrooms_6,FullBathrooms_7,FullBathrooms_8,Bedrooms_0,Bedrooms_1,Bedrooms_2,Bedrooms_3,Bedrooms_4,Bedrooms_5,Bedrooms_6,Bedrooms_7,Bedrooms_8
316010702,ITECH,2016-11-18 07:45:06,"9378 Wilshire Boulevard, Suite 200",1025000.00,,2016,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16181224,CLAW,2016-11-18 00:00:00,"11726 San Vicente Blvd, Suite 350",839000.00,"Meticulously maintained light-filled townhouse in the Altos Arroyo complex is looking for its next owner. Main floor features hardwood flooring throughout, living room with vaulted ceilings and firepl",2016,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
316010634,ITECH,2016-11-18 00:00:00,"9378 Wilshire Boulevard, Suite 200",785000.00,,2016,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16181228,CLAW,2016-11-18 00:00:00,"23410 Civic Center Way, C1",7488000.00,"Located on a quiet street in the desirable San Marino neighborhood, is this charming and cheerful traditional. It boasts 3 beds and 3 baths downstairs, and a private bedroom suite upstairs. Inviting c",2016,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16180298,CLAW,2016-11-17 00:00:00,"11726 San Vicente Blvd, Suite 350",1125000.00,Absolutely exquisite Spanish Colonial Revival Estate located in the heart of Flintridge. Former Showcase House magnificently situated on almost 2 flat acres of private park-like grounds with multiple ,2016,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
316010650,ITECH,2016-11-17 00:00:00,964 Foothill Boulevard,1299000.00,,2016,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16180182,CLAW,2016-11-16 00:00:00,"9378 Wilshire Boulevard, Suite 200",1875000.00,"Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta",2016,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
316010536,ITECH,2016-11-14 00:00:00,964 Foothill Boulevard,2600000.00,,2016,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16179602,CLAW,2016-11-14 00:00:00,"11726 San Vicente Blvd, Suite 350",3986000.00,"House was taken down to the studs, has no plumbing and no electrical and only sub-flooring in some of the rooms. Single level property in a great neighborhood, located in the gentle hills of Rancho Pa",2016,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
316010528,ITECH,2016-11-13 00:00:00,964 Foothill Boulevard,569900.00,"A decorator perfect home in Torrance Gardens awaits: enter this 1,611 sq. ft. gem from a welcoming brick front porch, step into the inviting living room with beautiful wood floors, and take your time ",2016,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16178844,CLAW,2016-11-11 00:00:00,1730 Ocean Park Blvd,3695000.00,This exquisite corner residence within Los Angeles' most distinguished pre-war building embraces the forgotten elegance of old-world European design while affording the modern comforts of present day ,2016,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16178020,CLAW,2016-11-11 00:00:00,"23410 Civic Center Way, C1",1188000.00,"Approved 8-Unit construction project in the NoHo Arts District. The Project is stamped ""Ready-to-Issue"" and ready to go. A stone's throw from everything that the North Hollywood Arts District has to o",2016,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16179426,CLAW,2016-11-11 00:00:00,"11726 San Vicente Blvd, Suite 350",749000.00,"Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to",2016,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
